C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,label
5,80,140,126,1,6,5,2,1,41,114,49,155,2,49,44,8,124,26,1,145,0,0,51,17,9,2.1972245773362196,-1.0,4.110873864173311,2.4849066497880004,2.4849066497880004,2.0794415416798357,2.302585092994046,3.4339872044851463,3.6888794541139363,0.6931471805599453,1.0986122886681098,0.0,2.0794415416798357,0
6,71,40,82,6,4,104,1,1,30,34,56,1,7,22,3,0,30,29,2,136,5,1,107,2,78,0.0,0.6931471805599453,2.6390573296152584,0.6931471805599453,8.055475141757274,5.099866427824199,0.6931471805599453,0.6931471805599453,3.4965075614664802,0.0,0.6931471805599453,0.0,0.6931471805599453,0
11,48,151,27,5,6,35,7,1,69,40,93,65,7,102,107,7,3,5,1,157,0,6,33,19,17,0.6931471805599453,5.713732805509369,4.276666119016055,1.3862943611198906,5.602118820879701,2.995732273553991,0.6931471805599453,1.9459101490553132,2.995732273553991,0.6931471805599453,0.6931471805599453,0.0,2.995732273553991,0
4,38,103,92,1,3,131,1,1,138,41,68,40,2,156,36,8,70,5,2,133,0,0,77,5,58,0.6931471805599453,0.0,0.6931471805599453,0.0,1.0986122886681098,0.0,1.6094379124341003,0.0,0.0,0.6931471805599453,1.0986122886681098,0.0,0.0,1
0,27,155,69,7,6,36,3,1,12,32,112,37,1,18,100,8,77,5,2,64,3,0,28,17,4,2.4849066497880004,5.529429087511423,2.302585092994046,1.791759469228055,3.091042453358316,1.9459101490553132,3.5553480614894135,1.791759469228055,1.791759469228055,0.6931471805599453,1.6094379124341003,0.0,1.791759469228055,0
1,30,10,44,6,6,163,1,1,113,117,33,157,1,150,65,8,61,9,3,137,0,8,62,1,61,2.3978952727983707,0.6931471805599453,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,2.3978952727983707,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.0,0.0,1
0,56,72,1,1,4,52,2,1,107,139,44,93,7,114,16,6,11,3,3,12,0,0,84,12,70,0.0,-1.0,0.6931471805599453,3.1780538303479458,8.061486866871327,4.997212273764115,4.143134726391533,0.0,6.625392368007956,0.0,2.302585092994046,0.6931471805599453,3.6888794541139363,0
0,30,61,136,9,4,37,1,1,36,18,102,140,1,65,144,7,91,43,2,106,0,0,10,16,49,0.0,3.58351893845611,2.6390573296152584,1.791759469228055,8.505120610181969,4.948759890378168,0.6931471805599453,3.1354942159291497,4.127134385045092,0.0,0.6931471805599453,0.0,2.4849066497880004,0
11,13,130,155,5,0,3,7,0,40,88,62,100,7,104,99,0,69,18,2,33,0,0,35,17,24,0.0,0.6931471805599453,2.6390573296152584,1.0986122886681098,10.99986401026266,5.680172609017068,0.0,1.0986122886681098,4.477336814478207,0.0,0.0,0.0,1.0986122886681098,0
14,40,56,34,1,5,81,1,1,112,42,161,139,1,144,148,7,123,5,2,63,0,0,122,16,18,0.0,0.0,0.0,0.6931471805599453,9.725138096494574,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,1
21,66,51,24,1,4,11,2,1,18,2,50,124,3,117,134,8,112,0,0,17,0,1,99,0,0,0.0,5.3612921657094255,0.0,0.0,7.398174092970465,4.189654742026425,3.2188758248682006,0.6931471805599453,4.736198448394496,0.0,1.9459101490553132,0.0,0.0,1
18,10,93,33,1,0,172,1,1,67,11,42,137,7,143,51,3,117,24,3,101,0,6,79,15,21,2.3978952727983707,2.4849066497880004,1.3862943611198906,1.3862943611198906,6.934397209928558,1.3862943611198906,4.48863636973214,1.3862943611198906,4.882801922586371,0.6931471805599453,2.772588722239781,0.0,1.3862943611198906,0
24,25,34,62,6,3,67,2,1,30,100,82,110,2,164,130,5,13,5,1,109,0,7,114,16,88,0.0,1.791759469228055,3.1354942159291497,1.791759469228055,9.242323417829233,0.0,0.0,1.791759469228055,2.6390573296152584,0.0,0.0,0.0,1.791759469228055,0
11,84,104,71,1,4,74,1,1,30,20,76,149,1,121,167,7,7,18,3,114,3,2,35,11,24,0.0,6.659293919683638,0.6931471805599453,0.6931471805599453,6.517671272912275,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.6931471805599453,0
25,18,25,122,5,4,97,8,1,131,146,11,160,2,8,62,1,9,0,0,147,0,0,116,0,0,0.0,5.19295685089021,4.127134385045092,0.0,8.106816038947052,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0
16,5,114,76,1,4,114,4,1,10,155,150,151,5,141,132,6,45,37,1,60,5,3,12,16,59,0.6931471805599453,0.6931471805599453,1.791759469228055,2.0794415416798357,7.122059881629142,2.6390573296152584,2.302585092994046,2.772588722239781,4.499809670330265,0.0,1.3862943611198906,0.0,2.0794415416798357,0
0,5,75,12,1,4,46,1,1,83,161,52,103,7,57,136,4,40,26,3,97,0,6,35,16,24,1.0986122886681098,4.290459441148391,3.044522437723423,2.4849066497880004,1.6094379124341003,2.4849066497880004,3.2188758248682006,2.70805020110221,4.248495242049359,0.6931471805599453,2.0794415416798357,0.0,2.4849066497880004,0
10,30,21,153,4,0,80,1,1,30,119,147,43,7,91,110,7,61,5,2,107,0,0,106,11,40,0.0,4.060443010546419,4.110873864173311,3.044522437723423,9.381179591661104,3.044522437723423,0.6931471805599453,2.995732273553991,3.044522437723423,0.0,0.6931471805599453,0.0,3.044522437723423,0
0,35,102,67,6,3,151,7,1,98,67,156,35,0,147,164,8,95,5,2,36,0,0,74,11,65,1.6094379124341003,0.6931471805599453,3.4011973816621555,3.4339872044851463,4.727387818712341,3.4339872044851463,3.332204510175204,3.5263605246161616,4.976733742420574,1.0986122886681098,1.6094379124341003,0.0,3.4339872044851463,0
12,13,126,124,1,0,71,1,1,65,0,81,13,12,44,118,6,69,18,3,104,0,0,35,17,24,1.0986122886681098,1.6094379124341003,3.9889840465642745,2.70805020110221,7.313220387090301,3.044522437723423,2.4849066497880004,2.995732273553991,4.59511985013459,0.0,1.3862943611198906,2.0794415416798357,2.70805020110221,0
0,72,89,132,5,5,144,7,1,30,57,17,107,1,119,33,5,38,5,1,141,0,7,71,9,29,0.0,1.791759469228055,1.3862943611198906,1.791759469228055,9.76457025334946,0.0,0.0,2.1972245773362196,2.1972245773362196,0.0,0.0,0.0,1.9459101490553132,0
13,16,19,25,1,4,63,12,1,30,69,137,109,2,66,6,8,122,0,0,66,0,3,104,0,0,0.0,3.912023005428146,0.6931471805599453,0.6931471805599453,8.044626279767337,4.290459441148391,1.3862943611198906,0.6931471805599453,3.8918202981106265,0.0,0.6931471805599453,0.0,0.6931471805599453,0
0,0,145,70,1,4,41,1,1,7,37,58,10,2,53,94,1,74,5,1,111,0,2,55,17,31,0.0,7.960672608388117,3.1780538303479458,0.0,10.068366195718362,0.0,0.0,1.0986122886681098,3.871201010907891,0.0,0.0,0.0,1.0986122886681098,0
14,18,71,130,1,4,100,1,1,54,156,72,39,8,142,139,0,32,0,0,158,0,1,110,0,0,0.0,4.787491742782046,1.6094379124341003,1.6094379124341003,9.51259080860336,0.0,0.0,2.0794415416798357,3.58351893845611,0.0,0.0,0.0,1.6094379124341003,0
11,42,46,31,2,4,153,1,1,30,33,148,127,2,116,46,1,76,5,1,49,5,9,63,1,55,0.0,3.258096538021482,1.791759469228055,1.6094379124341003,0.0,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.6931471805599453,0
10,26,33,19,1,5,85,1,1,31,135,75,158,7,30,115,8,15,0,0,74,0,0,91,0,0,1.0986122886681098,5.198497031265826,4.553876891600541,2.0794415416798357,5.0238805208462765,3.6635616461296463,1.0986122886681098,3.4339872044851463,3.295836866004329,0.6931471805599453,0.6931471805599453,0.0,3.258096538021482,0
21,18,45,81,2,6,133,1,0,30,162,132,53,7,77,34,2,84,0,0,24,0,7,65,0,0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,46,131,76,1,6,51,1,1,74,122,35,30,7,109,141,8,1,5,1,90,0,0,12,16,60,0.0,0.0,2.302585092994046,0.0,9.793002819360856,4.0943445622221,1.0986122886681098,0.0,4.59511985013459,0.0,0.6931471805599453,0.0,0.0,0
0,18,90,149,1,4,50,1,1,77,103,30,138,1,145,15,8,43,0,0,146,0,2,82,0,0,2.0794415416798357,4.442651256490317,0.0,2.0794415416798357,2.3978952727983707,1.9459101490553132,3.4011973816621555,3.7376696182833684,5.666426688112432,0.6931471805599453,1.6094379124341003,0.0,1.791759469228055,0
0,84,95,15,1,4,137,1,1,37,110,18,63,7,25,17,6,7,4,3,20,0,6,17,16,87,0.0,0.0,0.6931471805599453,0.0,8.207401833376355,3.7612001156935624,1.0986122886681098,3.4339872044851463,3.6375861597263857,0.0,0.6931471805599453,0.6931471805599453,0.0,0
0,30,165,147,1,6,26,1,1,111,131,131,58,1,150,41,8,61,27,2,143,5,2,35,1,35,1.791759469228055,0.6931471805599453,3.8501476017100584,1.9459101490553132,6.953684210870537,4.727387818712341,1.791759469228055,3.784189633918261,4.718498871295094,0.6931471805599453,0.6931471805599453,0.0,1.9459101490553132,0
16,0,1,129,1,4,92,1,0,120,54,145,133,1,110,81,1,74,5,1,87,0,1,45,16,77,0.0,2.0794415416798357,1.6094379124341003,1.3862943611198906,11.228066071675364,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,0
11,18,13,116,10,0,159,1,0,30,72,79,93,7,4,57,2,48,0,0,116,0,0,60,0,0,0.0,4.007333185232471,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1
11,13,36,18,1,0,108,1,0,30,164,129,72,7,104,54,2,69,24,3,129,0,0,46,17,33,0.0,0.0,3.5553480614894135,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,1.3862943611198906,0
0,46,158,151,1,6,55,1,1,30,125,70,67,2,9,88,7,1,5,1,108,0,0,91,16,50,0.0,0.6931471805599453,0.6931471805599453,0.0,8.963800242855577,4.787491742782046,0.6931471805599453,2.995732273553991,3.4339872044851463,0.0,0.6931471805599453,0.0,0.0,1
20,54,120,121,3,5,128,5,1,117,141,36,22,2,108,120,6,47,5,1,22,5,3,32,16,56,1.0986122886681098,1.791759469228055,2.4849066497880004,2.302585092994046,3.2188758248682006,2.302585092994046,4.709530201312334,2.302585092994046,5.003946305945459,0.6931471805599453,2.3978952727983707,0.0,2.302585092994046,0
16,32,50,94,1,5,129,1,1,114,138,73,84,1,73,129,8,87,0,0,151,0,0,49,0,0,0.0,2.995732273553991,0.6931471805599453,0.6931471805599453,8.919586920999915,2.302585092994046,2.302585092994046,0.6931471805599453,2.302585092994046,0.0,0.6931471805599453,0.0,0.6931471805599453,0
0,46,18,151,1,6,13,2,1,84,105,70,47,2,9,88,8,1,5,1,108,3,6,91,16,50,1.6094379124341003,0.0,4.882801922586371,0.6931471805599453,0.0,0.6931471805599453,2.70805020110221,2.3978952727983707,3.713572066704308,0.6931471805599453,1.3862943611198906,0.0,0.0,0
0,18,63,79,1,6,24,2,1,132,64,107,82,7,98,45,8,4,0,0,16,5,1,86,0,0,0.0,1.791759469228055,1.0986122886681098,0.6931471805599453,7.3310603052186325,1.3862943611198906,2.302585092994046,1.0986122886681098,1.0986122886681098,0.0,0.6931471805599453,0.0,0.6931471805599453,1
0,22,78,110,0,4,48,5,1,88,124,121,45,1,154,21,8,113,5,1,11,0,0,94,7,30,0.6931471805599453,0.6931471805599453,1.791759469228055,2.9444389791664403,6.16541785423142,4.1588830833596715,2.772588722239781,1.6094379124341003,6.6895992691789665,0.6931471805599453,1.6094379124341003,0.0,4.1588830833596715,0
0,28,138,51,6,4,31,7,1,14,4,83,33,6,139,23,1,71,0,0,70,3,1,18,0,0,0.0,0.6931471805599453,0.6931471805599453,2.9444389791664403,9.286560397887591,0.0,0.0,0.6931471805599453,5.641907070938114,0.0,0.0,0.0,2.9444389791664403,0
0,89,42,90,3,0,174,1,1,17,113,141,6,7,93,7,8,35,2,3,72,0,0,29,7,13,0.6931471805599453,-1.0,0.0,0.0,6.270988431858299,2.772588722239781,2.1972245773362196,1.0986122886681098,6.373319789577012,0.6931471805599453,1.6094379124341003,0.0,0.0,0
11,18,26,32,1,5,108,12,0,30,164,138,72,2,92,151,2,19,0,0,2,3,3,102,0,0,0.0,2.9444389791664403,2.302585092994046,0.0,0.0,0.0,0.0,2.0794415416798357,2.833213344056216,0.0,0.0,0.0,2.0794415416798357,0
21,45,7,117,0,4,130,4,1,106,85,104,136,7,120,43,8,37,0,0,156,0,0,32,0,0,0.0,1.791759469228055,0.0,2.6390573296152584,9.256078263650036,5.14166355650266,1.6094379124341003,2.6390573296152584,4.574710978503383,0.0,0.6931471805599453,0.0,2.6390573296152584,0
0,90,135,96,1,4,94,0,1,134,44,113,7,7,64,96,7,82,0,0,164,3,1,101,0,0,0.0,3.332204510175204,0.0,0.0,10.231135252930956,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,1
3,5,58,103,1,0,99,1,1,79,35,155,130,7,57,165,7,40,5,2,118,0,0,35,13,24,0.0,3.912023005428146,0.0,0.0,8.224967478914584,3.044522437723423,0.6931471805599453,1.3862943611198906,3.044522437723423,0.0,0.6931471805599453,0.0,0.0,0
0,87,87,115,1,3,62,18,1,32,84,140,80,7,6,63,8,79,5,3,112,2,0,117,13,36,0.6931471805599453,2.995732273553991,2.9444389791664403,2.833213344056216,5.187385805840755,3.4965075614664802,3.5553480614894135,3.5553480614894135,5.303304908059076,0.0,2.302585092994046,0.0,2.833213344056216,1
16,53,0,0,1,4,70,1,1,30,94,0,70,4,1,0,7,62,0,0,0,0,0,0,0,0,0.0,0.6931471805599453,1.0986122886681098,1.791759469228055,8.796943893541737,4.653960350157523,0.6931471805599453,2.8903717578961645,4.31748811353631,0.0,0.6931471805599453,0.0,1.791759469228055,1
19,36,146,117,4,0,86,7,1,127,22,152,123,7,82,87,8,20,0,0,1,4,0,32,0,0,0.0,0.6931471805599453,0.0,0.0,10.278905739291996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,46,0,0,1,4,78,7,1,118,30,0,69,1,159,0,8,121,5,1,0,0,1,0,16,1,0.0,4.07753744390572,0.0,3.044522437723423,9.983222520554982,6.9411900550683745,2.302585092994046,0.6931471805599453,5.0238805208462765,0.0,1.0986122886681098,0.0,3.784189633918261,0
11,79,164,23,1,4,23,7,1,133,147,159,112,7,103,39,1,101,5,1,38,0,1,36,2,76,0.0,2.4849066497880004,2.4849066497880004,1.791759469228055,8.372398606513004,4.127134385045092,1.6094379124341003,2.70805020110221,4.23410650459726,0.0,1.0986122886681098,0.0,1.791759469228055,0
18,20,109,50,1,5,15,8,0,82,136,94,64,1,67,152,7,110,5,1,99,0,8,85,2,83,0.0,7.848153086199526,1.0986122886681098,0.0,11.05962948242707,5.988961416889864,0.0,2.0794415416798357,4.812184355372417,0.0,0.0,0.0,0.6931471805599453,1
0,11,29,104,1,6,68,1,1,44,99,25,156,4,14,80,8,24,5,2,100,0,0,95,1,39,0.0,3.4339872044851463,1.0986122886681098,2.772588722239781,7.905810312658931,5.351858133476067,1.791759469228055,3.784189633918261,5.493061443340548,0.0,1.0986122886681098,0.0,2.772588722239781,0
16,82,49,14,1,5,1,1,1,56,101,19,118,2,74,76,8,108,0,0,54,0,0,67,0,0,0.0,3.912023005428146,0.0,1.3862943611198906,7.457609289715606,3.044522437723423,0.6931471805599453,2.70805020110221,2.833213344056216,0.0,0.6931471805599453,0.0,1.3862943611198906,0
11,23,31,36,1,4,119,1,1,103,45,16,152,1,153,55,8,80,5,1,128,0,0,12,16,17,0.0,-1.0,0.0,0.0,5.8805329864007,0.0,0.0,2.3978952727983707,2.4849066497880004,0.0,0.0,0.0,0.0,0
17,67,152,3,1,4,132,7,1,6,24,43,87,1,79,29,8,21,0,0,105,0,1,8,0,0,1.0986122886681098,2.0794415416798357,0.0,3.1354942159291497,3.6375861597263857,3.1354942159291497,1.6094379124341003,0.6931471805599453,4.912654885736052,0.6931471805599453,1.3862943611198906,0.0,3.1354942159291497,0
26,46,0,0,1,3,170,2,1,109,7,0,159,7,51,0,8,121,5,1,0,0,0,0,16,69,0.0,4.23410650459726,0.6931471805599453,0.6931471805599453,10.10699966190111,3.784189633918261,1.6094379124341003,2.5649493574615367,4.143134726391533,0.0,0.6931471805599453,0.0,0.6931471805599453,0
11,3,77,49,1,6,138,1,1,64,29,158,119,1,89,72,4,109,5,1,152,0,0,78,1,17,0.0,5.720311776607412,0.6931471805599453,0.0,9.517825071724143,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,1
23,69,4,131,1,1,42,1,1,137,111,1,32,1,33,74,8,31,0,0,148,0,1,91,0,0,0.0,1.0986122886681098,1.6094379124341003,2.0794415416798357,7.358193752733032,4.2626798770413155,1.6094379124341003,3.7612001156935624,4.770684624465665,0.0,0.6931471805599453,0.0,3.6109179126442243,0
0,18,147,75,1,4,154,1,0,30,70,47,68,1,126,9,2,118,0,0,84,0,7,100,0,0,0.0,0.0,1.3862943611198906,1.0986122886681098,0.0,0.0,0.0,1.3862943611198906,2.6390573296152584,0.0,0.0,0.0,1.0986122886681098,0
16,5,167,86,1,5,90,18,1,63,83,136,154,2,148,5,8,40,5,3,149,0,2,35,15,24,0.0,0.0,1.791759469228055,0.6931471805599453,7.468513271496337,3.6375861597263857,0.6931471805599453,2.1972245773362196,2.4849066497880004,0.0,0.6931471805599453,0.0,0.6931471805599453,0
0,33,23,78,1,1,89,11,1,26,59,80,34,4,29,90,8,97,5,1,7,0,0,32,17,51,1.3862943611198906,3.1354942159291497,2.0794415416798357,2.302585092994046,5.598421958998375,2.4849066497880004,2.5649493574615367,2.772588722239781,6.352629396319567,0.6931471805599453,2.0794415416798357,0.0,2.302585092994046,1
10,12,55,35,1,5,106,1,1,97,53,106,83,1,12,86,4,67,0,0,154,0,2,98,0,0,0.0,0.6931471805599453,0.0,0.0,9.578311275656766,5.796057750765372,2.772588722239781,0.0,6.07073772800249,0.0,2.302585092994046,0.0,0.0,1
9,63,68,45,1,3,103,1,0,139,118,53,115,7,157,124,8,6,0,0,163,0,0,20,0,0,0.0,0.6931471805599453,1.6094379124341003,0.6931471805599453,12.367621604758849,0.0,0.0,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0
7,31,129,57,1,4,105,2,1,30,5,111,1,7,167,123,8,125,5,1,19,0,1,31,8,27,0.6931471805599453,1.6094379124341003,4.330733340286331,3.091042453358316,5.5093883366279774,4.248495242049359,0.6931471805599453,3.5263605246161616,3.5263605246161616,0.6931471805599453,0.6931471805599453,0.0,3.4657359027997265,0
0,52,67,68,1,5,136,7,1,30,143,5,56,1,76,79,0,111,0,0,126,0,1,88,0,0,0.0,4.174387269895637,1.3862943611198906,2.0794415416798357,9.598862759354034,3.6635616461296463,1.6094379124341003,2.833213344056216,3.258096538021482,0.0,1.3862943611198906,0.0,2.8903717578961645,1
